problem_family,base_setting,seed,step,eval_algo,vector_source,source_algo,target_relative_op_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixSensing,Matrix sensing kappa=1e+02,1,1,Muon,other_vectors,Adam,0.001,0.00958917469011533,0.009599825468324559,-1.0650778209228898e-05,-1.0582997013993742e-05,-0.2013736497272469,0.0011469113344971021
MatrixSensing,Matrix sensing kappa=1e+02,1,3,Adam,own_vectors,Adam,0.001,0.005056093402762189,0.0049941596781521574,6.193372461003183e-05,6.215491237809024e-05,0.8288449939332646,0.0023300637524249464
MatrixSensing,Matrix sensing kappa=1e+02,1,3,Adam,other_vectors,Muon,0.001,0.005056093402762189,0.005112036084074398,-5.5942681312208704e-05,-5.5735503111802024e-05,-0.743241217324172,0.0023300637524249447
MatrixSensing,Matrix sensing kappa=1e+02,1,3,Muon,own_vectors,Muon,0.001,0.0048236221505299015,0.0047944927379768324,2.9129412553069098e-05,2.918347482419069e-05,0.7970160315926154,0.0011902629595043472
MatrixSensing,Matrix sensing kappa=1e+02,1,3,Muon,other_vectors,Adam,0.001,0.0048236221505299015,0.004850152845108382,-2.6530694578480105e-05,-2.647297657020468e-05,-0.7229909000740099,0.0011902629595043465
MatrixSensing,Matrix sensing kappa=1e+02,1,5,Adam,own_vectors,Adam,0.001,0.002635786231333939,0.0026008208236644997,3.496540766943952e-05,3.511724681965653e-05,0.8488296389015781,0.001998000482096255
MatrixSensing,Matrix sensing kappa=1e+02,1,5,Adam,other_vectors,Muon,0.001,0.002635786231333939,0.0026494543665473813,-1.3668135213442106e-05,-1.3545394454207292e-05,-0.32740984344218216,0.001998000482096255
MatrixSensing,Matrix sensing kappa=1e+02,1,5,Muon,own_vectors,Muon,0.001,0.0018982819647289503,0.0018808784707415153,1.740349398743498e-05,1.7452190385610057e-05,0.7771890020920379,0.0012584895275015405
MatrixSensing,Matrix sensing kappa=1e+02,1,5,Muon,other_vectors,Adam,0.001,0.0018982819647289503,0.0019052244311413729,-6.942466412422589e-06,-6.882225464235099e-06,-0.30648244275008335,0.0012584895275015405
MatrixSensing,Matrix sensing kappa=1e+02,2,0,Adam,own_vectors,Adam,0.001,0.012096481701537817,0.012044345202304902,5.2136499232914926e-05,5.220309200402579e-05,0.8210689174863716,0.0011908214528474636
MatrixSensing,Matrix sensing kappa=1e+02,2,0,Adam,other_vectors,Muon,0.001,0.012096481701537817,0.012044345202304902,5.2136499232914926e-05,5.220309200402579e-05,0.8210689174863716,0.0011908214528474636
MatrixSensing,Matrix sensing kappa=1e+02,2,0,Muon,own_vectors,Muon,0.001,0.012096481701537817,0.012044345202304902,5.2136499232914926e-05,5.220309200402579e-05,0.8210689174863716,0.0011908214528474636
MatrixSensing,Matrix sensing kappa=1e+02,2,0,Muon,other_vectors,Adam,0.001,0.012096481701537817,0.012044345202304902,5.2136499232914926e-05,5.220309200402579e-05,0.8210689174863716,0.0011908214528474636
MatrixSensing,Matrix sensing kappa=1e+02,2,1,Adam,own_vectors,Adam,0.001,0.002717478222609951,0.002681801487680473,3.567673492947806e-05,3.5822543035126127e-05,0.8420893861111192,0.0016660345175679863
MatrixSensing,Matrix sensing kappa=1e+02,2,1,Adam,other_vectors,Muon,0.001,0.002717478222609951,0.0027291657999293215,-1.1687577319370503e-05,-1.1563184522070438e-05,-0.27181864074060735,0.0016660345175679857
MatrixSensing,Matrix sensing kappa=1e+02,2,1,Muon,own_vectors,Muon,0.001,0.008982577552108744,0.008940062939270807,4.251461283793709e-05,4.257500657460858e-05,0.8127421804691465,0.0011608666332749084
MatrixSensing,Matrix sensing kappa=1e+02,2,1,Muon,other_vectors,Adam,0.001,0.008982577552108744,0.00899618551845648,-1.360796634773502e-05,-1.3537175300921166e-05,-0.25842000405057813,0.0011608666332749086
MatrixSensing,Matrix sensing kappa=1e+02,2,3,Adam,own_vectors,Adam,0.001,0.00496028873355911,0.0048956416103517345,6.464712320737587e-05,6.489135402669488e-05,0.8309208440322776,0.0023765618838323026
