group_type,problem_family,base_setting,target_relative_update_norm,metric,n_pairs,muon_higher_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.003,update_grad_cosine,50,0,0.0,0.7277612950476673,0.7178613730915688,0.7377977453899007,False,True,-0.1680969873219278,-0.17620273058798716,-0.15999124405586843
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.01,update_grad_inner,50,0,0.0,0.7148293541082661,0.7038418743302054,0.7259883563777786,False,True,-5.57285684272163e-05,-5.899194442924452e-05,-5.246519242518808e-05
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.01,delta_loss,50,0,0.0,0.7142521489077244,0.7030927710213855,0.7255886466848412,False,True,-5.5857280274249634e-05,-5.918169543097375e-05,-5.253286511752552e-05
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.01,update_grad_cosine,50,0,0.0,0.7240470494923258,0.7143882695430251,0.7338364195339983,False,True,-0.1712744840117989,-0.1792842808053513,-0.1632646872182465
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.03,update_grad_inner,50,0,0.0,0.6657620315339524,0.646718711577432,0.6853661022905878,False,True,-0.00022410449339645147,-0.0002469647656601342,-0.0002012442211327687
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.03,delta_loss,50,0,0.0,0.662616802508935,0.6428870715304302,0.6829520244075752,False,True,-0.00022829379722479005,-0.00025233254730309534,-0.00020425504714648477
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.03,update_grad_cosine,50,0,0.0,0.7203107047678916,0.7110293023540242,0.7297132617255773,False,True,-0.17417840936297285,-0.18175635453542438,-0.16660046419052132
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.1,update_grad_inner,50,0,0.0,0.5345598889884704,0.49880483492398864,0.572877917189618,False,True,-0.002060115423249575,-0.0024870192871935936,-0.0016332115593055568
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.1,delta_loss,50,0,0.0,0.5259375143598213,0.48854256355443104,0.5661948203621949,False,True,-0.0022066221631150016,-0.002670993464264227,-0.0017422508619657764
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.1,update_grad_cosine,50,0,0.0,0.7328150063114209,0.724826827294859,0.7408912215341464,False,True,-0.1633395869286378,-0.16973447715467516,-0.15694469670260042
