problem_family,setting,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,nrG_std,stA_std,condition_score_std,mean_grad_rank_fraction_std,distance_to_MatrixFactorizationInput,distance_to_MatrixSensing,distance_to_SmallMLPDigits,inside_global_feature_fraction,nearest_current_family_distance,second_nearest_current_family_distance,bridge_score
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=2,20,5,10.0,10,2,2.0,64,1024,0.00221216245016894,0.9997238438472934,2.129220071582607,3.011230301928414,0.7841562392068814,0.42584401431652147,0.5309625980097726,0.2759520539357604,0.20012131677297543,0.10619251960195444,0.7373448196853764,3.4092799584016222,2.8678753272326247,1.0,0.7373448196853764,2.8678753272326247,0.2585398740645234
MatrixFactorizationInput,scan MF d=20 r=10 factors=10 kappa=1e+02 input_mult=2,20,10,100.0,10,2,2.0,64,1024,0.0017680336535842933,0.9999144026267398,3.279344845745362,4.067931406648037,0.8514336862949595,0.3279344845745362,0.23430467508002759,0.2386373872596046,0.10627533304217035,0.023430467508002737,0.3049262253755091,3.6040304999344226,2.879763897989225,1.0,0.3049262253755091,2.879763897989225,0.25774764297339653
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=10,20,5,1.0,10,10,2.0,64,1024,0.00649542338866822,0.999860004986072,3.1326415275536745,3.653469767438734,1.037446820690816,0.6265283055107349,0.2839634098698271,0.1841945798010499,0.17461222354573952,0.05679268197396523,1.8147661655405234,3.128043897892868,2.9027860920976107,1.0,1.8147661655405234,2.9027860920976107,0.25622721215103417
MatrixFactorizationInput,scan MF d=60 r=10 factors=10 kappa=1e+00 input_mult=2,60,10,1.0,10,2,2.0,64,1024,0.0013646410579565796,0.9999080729116868,6.680322180960364,6.868581718337452,1.153717253696583,0.6680322180960365,0.5122344603992262,0.7819947291836765,0.08461053229831156,0.05122344603992264,2.0632843391572075,2.976245104845118,2.9154761359085524,1.0,2.0632843391572075,2.9154761359085524,0.255396780695219
MatrixFactorizationInput,scan MF d=40 r=10 factors=10 kappa=1e+00 input_mult=10,40,10,1.0,10,10,2.0,64,1024,0.00312232736981611,0.9997936184081594,6.791430610223945,7.006179688787401,1.2008066539760938,0.6791430610223945,0.5125797742717126,0.3837550005516388,0.12332454280344886,0.05125797742717117,2.12672185064085,2.976518427282283,2.917045924421464,1.0,2.12672185064085,2.917045924421464,0.2552944283255236
MatrixFactorizationInput,scan MF d=40 r=10 factors=2 kappa=1e+01 input_mult=2,40,10,10.0,2,2,2.0,64,1024,0.0008324534464615656,0.9997634860452521,5.083443721132368,9.488229508412536,0.7139549345178909,0.5083443721132368,0.3519607334470523,0.5010690896893858,0.04579001154735858,0.03519607334470521,1.181217996703319,3.1141200166458805,2.9185153889587765,1.0,1.181217996703319,2.9185153889587765,0.2551986915293751
MatrixFactorizationInput,scan MF d=60 r=10 factors=5 kappa=1e+01 input_mult=10,60,10,10.0,5,10,2.0,64,1024,0.0003557764956935373,1.0007353882162409,4.918330608800622,11.71042004567874,0.6952328474399857,0.4918330608800621,0.418095524738108,0.0953422372354002,0.08890071195398143,0.041809552473810824,1.0928925232229667,3.134118953788891,2.9195973179756165,1.0,1.0928925232229667,2.9195973179756165,0.2551282488672784
MatrixFactorizationInput,scan MF d=60 r=10 factors=2 kappa=1e+00 input_mult=2,60,10,1.0,2,2,2.0,64,1024,0.0013654379445303736,1.0001693416220085,7.732677188590183,13.332387206944665,0.8502864180447101,0.7732677188590183,0.32586005690337944,0.5972670290119211,0.061384261304841876,0.03258600569033799,2.600036939738558,2.9198162504570684,3.337716833705034,1.0,2.600036939738558,2.9198162504570684,0.25511399925529554
MatrixSensing,scan MS d=40 r=5 kappa=1e+00 measurement_mult=2,40,5,1.0,10,10,2.0,64,1024,0.0603418053769782,1.0201235452628732,27.754694617059602,180.87784289922934,0.15344229703039566,0.6938673654264901,0.36530455555053154,0.33356539138332186,0.0017386542536663866,0.009132613888763278,2.9245929602630842,1.1650699868468481,3.8959826005060507,1.0,1.1650699868468481,2.9245929602630842,0.2548034943050413
MatrixFactorizationInput,scan MF d=40 r=5 factors=10 kappa=1e+01 input_mult=2,40,5,10.0,10,2,2.0,64,1024,0.0004556282896345134,1.000076377620653,2.659799959690029,4.334393040404833,0.756640132343623,0.5319599919380057,0.1862311659482622,0.17286560521849767,0.041561770851360265,0.03724623318965241,1.292190799750937,3.2024061222102054,2.9251550055906335,1.0,1.292190799750937,2.9251550055906335,0.2547670088380436
