problem_family,setting,seed,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,min_grad_rank_fraction,max_grad_rank_fraction
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+00 input_mult=2,0,20,10,1.0,5,2,2.0,64,1024,0.011412628796132416,1.000152068750165,6.8753362910496225,4.820457779681894,1.5137723909421994,0.6875336291049621,0.6579723214501468,0.7620546590541053
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+00 input_mult=2,1,20,10,1.0,5,2,2.0,64,1024,0.013541983281865365,0.9999141388570008,5.853972626676908,4.011478218633569,1.5940338036649837,0.5853972626676909,0.5354942395603732,0.7147407340557395
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+00 input_mult=2,2,20,10,1.0,5,2,2.0,64,1024,0.012398842280703514,1.0001778452573749,5.5481670142434965,4.254597818380724,1.4067761563934997,0.5548167014243497,0.48743320649665184,0.7237199809806659
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+00 input_mult=10,0,20,10,1.0,5,10,2.0,64,1024,0.012767906041642322,1.000152068750165,6.6168631650793825,5.68668185987513,1.3461217047824299,0.6616863165079383,0.6087264195555073,0.8145987032182826
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+00 input_mult=10,1,20,10,1.0,5,10,2.0,64,1024,0.0130706111332675,0.9999141388570008,6.598175913637343,6.012704484408341,1.2721749674000968,0.6598175913637342,0.5943158913320938,0.8308155151556583
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+00 input_mult=10,2,20,10,1.0,5,10,2.0,64,1024,0.01259093982013331,1.0001778452573749,6.364103903601169,5.938293257000444,1.1936405677319326,0.6364103903601169,0.5764508119297556,0.825099464501673
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+01 input_mult=2,0,20,10,10.0,5,2,2.0,64,1024,0.00254626878792202,1.0002736654252902,4.691476308568787,4.820457779681894,1.025273799754937,0.4691476308568787,0.4251055493295632,0.5519096849352464
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+01 input_mult=2,1,20,10,10.0,5,2,2.0,64,1024,0.0032373255423354254,1.000259071527748,4.41149965368303,4.011478218633569,1.2200555870584835,0.44114996536830303,0.4091510457759503,0.4912765633071013
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+01 input_mult=2,2,20,10,10.0,5,2,2.0,64,1024,0.0031182939655532136,1.0001984658454521,4.096992515805314,4.254597818380724,1.0599003544750123,0.40969925158053144,0.36614989158354094,0.47732038083833395
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+01 input_mult=10,0,20,10,10.0,5,10,2.0,64,1024,0.003124280784468084,1.0002736654252902,4.832279230639044,5.68668185987513,0.9987269693482193,0.4832279230639044,0.4506883395698125,0.5455967205330026
