problem_family,base_setting,seed,source_algo,checkpoint_step,remaining_steps,continuation_variant,continuation_algo,loaded_source_optimizer_state,loss_before,loss_after,total_decrease,recovery_before,recovery_after
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,1,4,own_fresh,Muon,False,0.009564645111617722,0.001821901419614771,0.007742743692002951,1.1440462050199978,1.1367089346079782
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,1,4,switched_fresh,Adam,False,0.009564645111617722,0.0028423391402064725,0.00672230597141125,1.1440462050199978,1.1984639148741552
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,2,own_preserved,Muon,True,0.0047606310648114865,0.001821901419614771,0.0029387296451967157,1.132896832200625,1.1367089346079782
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,2,own_fresh,Muon,False,0.0047606310648114865,0.001821901419614771,0.0029387296451967157,1.132896832200625,1.1367089346079782
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,2,switched_fresh,Adam,False,0.0047606310648114865,0.003400585925457298,0.0013600451393541886,1.132896832200625,1.1975960883217496
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,0,5,own_preserved,Adam,True,0.011350617945307562,0.002222988961446719,0.009127628983860842,1.1707003566011327,1.1931567317092973
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,0,5,own_fresh,Adam,False,0.011350617945307562,0.002222988961446719,0.009127628983860842,1.1707003566011327,1.1931567317092973
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,0,5,switched_fresh,Muon,False,0.011350617945307562,0.0014247127122791429,0.009925905233028418,1.1707003566011327,1.153091744472866
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,1,4,own_preserved,Adam,True,0.002774725628688884,0.002222988961446719,0.0005517366672421649,1.1510930628960832,1.1931567317092973
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,1,4,own_fresh,Adam,False,0.002774725628688884,0.003548821018516087,-0.0007740953898272029,1.1510930628960832,1.1993055672316295
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,1,4,switched_fresh,Muon,False,0.002774725628688884,4.081129728517856e-05,0.0027339143314037053,1.1510930628960832,1.1342756524981576
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,2,own_preserved,Adam,True,0.004762389498645662,0.002222988961446719,0.0025394005371989427,1.2286091743358996,1.1931567317092973
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,2,own_fresh,Adam,False,0.004762389498645662,0.00412520344665231,0.000637186051993352,1.2286091743358996,1.220589076297785
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,2,switched_fresh,Muon,False,0.004762389498645662,0.0017048077129058947,0.003057581785739767,1.2286091743358996,1.1881912263061851
