group_type,problem_family,base_setting,target_layer_relative_norm,budget,eval_algo,metric,n_pairs,other_positive_pairs,other_better_pairs,mean_signed_other_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_other_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_other_minus_own,delta_ci95_low,delta_ci95_high
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,op,Muon,update_grad_cosine,20,15,11,0.8360163790429423,0.5205264408060907,1.151506317279794,1.1723574571223423,1.0050548237285655,1.367509487862081,15,True,False,-0.03356988694388981,-0.07011655476308276,0.0029767808753031408
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,fro,Adam,update_grad_inner,20,19,3,0.7040194169133599,0.3823263846386136,1.0257124491881062,0.5969025876083897,0.449060258502158,0.7934184607696232,19,False,True,-1.1779298504413827e-08,-4.097252279340626e-08,1.7413925784578606e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,fro,Adam,delta_loss,20,19,3,0.6963625842699992,0.3853521500628353,1.0073730184771632,0.5944619969321661,0.4487246118109163,0.7875321667122821,19,False,True,-1.1836635828817219e-08,-4.106223780239781e-08,1.7388966144763377e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,fro,Adam,update_grad_cosine,20,19,3,0.7040194169133599,0.3823263846386136,1.0257124491881062,0.5969025876083897,0.449060258502158,0.7934184607696232,19,False,True,-0.05613322975306843,-0.15943371019495498,0.04716725068881813
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,fro,Muon,update_grad_inner,20,15,10,0.8161826587149941,0.48977150530235114,1.1425938121276369,1.161124348025692,0.9865284038629563,1.3666203084461572,15,False,False,-8.684185078459556e-09,-1.605817999258357e-08,-1.3101901643355422e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,fro,Muon,delta_loss,20,15,10,0.8170491382858149,0.4906394787510851,1.1434587978205448,1.1618159563243187,0.9869612482044587,1.3676487489508438,15,False,False,-8.68448068590429e-09,-1.606137439109156e-08,-1.3075869807170186e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,fro,Muon,update_grad_cosine,20,15,10,0.8161826587149943,0.4897715053023514,1.142593812127637,1.161124348025692,0.9865284038629563,1.3666203084461572,15,False,False,-0.033408078076783754,-0.068862929050534,0.0020467728969664895
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,op,Adam,update_grad_inner,20,19,11,1.619168019004697,0.8303186907447615,2.4080173472646327,1.3396311943786383,0.9964603685663578,1.8009865656115431,19,False,False,1.4506343643888138e-08,-3.474246382828127e-09,3.24869336706044e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,op,Adam,delta_loss,20,19,11,1.605006386437946,0.8335889498548866,2.3764238230210055,1.3347919665941907,0.9955651958961809,1.7896061467682953,19,False,False,1.4364910771608433e-08,-3.5422608463070497e-09,3.2272082389523916e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,op,Adam,update_grad_cosine,20,19,4,0.7511844334585893,0.38619970780465745,1.1161691591125211,0.6229098749912881,0.4641641847623877,0.8359471176353117,19,False,True,-0.060163963843253176,-0.16904706560311183,0.048719137916605496
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,op,Muon,update_grad_inner,20,15,0,0.3912628145814826,0.2428606677043614,0.5396649614586038,0.5461062584248193,0.46385745885603197,0.6429389886847074,15,False,True,-9.884183985151795e-09,-1.667377841408517e-08,-3.094589556218424e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,op,Muon,delta_loss,20,15,0,0.39132516994561184,0.24297631352771606,0.5396740263635076,0.546062378668481,0.4637720775699521,0.6429540194819158,15,False,True,-9.89409288860738e-09,-1.669051174055243e-08,-3.0976740366623282e-09
