problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,checkpoint_recovery,continuation_variant,continuation_algo,horizon,loss_before,loss_after,total_decrease,recovery_before,recovery_after,finite
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,switched_fresh,Adam,3,0.004286243272425912,0.0023977853751124384,0.0018884578973134736,1.1699773795358508,1.2344150410518984,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,own_fresh,Muon,10,0.004286243272425912,0.00011253462648456743,0.004173708645941345,1.1699773795358508,1.2053077489635433,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,switched_fresh,Adam,10,0.004286243272425912,0.000803272386858169,0.003482970885567743,1.1699773795358508,1.1965695346582623,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,own_fresh,Muon,30,0.004286243272425912,0.00011497281766335868,0.0041712704547625535,1.1699773795358508,1.2058714286324375,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,switched_fresh,Adam,30,0.004286243272425912,0.00011225039104776462,0.004173992881378147,1.1699773795358508,1.1897896459215587,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Adam,3,0.0046543915671474175,1.2209388926744003,own_fresh,Adam,1,0.0046543915671474175,0.003584009740426388,0.0010703818267210293,1.2209388926744003,1.1872872393761724,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Adam,3,0.0046543915671474175,1.2209388926744003,switched_fresh,Muon,1,0.0046543915671474175,0.0028829084507970043,0.0017714831163504132,1.2209388926744003,1.199979055983401,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Adam,3,0.0046543915671474175,1.2209388926744003,own_fresh,Adam,3,0.0046543915671474175,0.002193710851015465,0.0024606807161319526,1.2209388926744003,1.1880770285734537,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Adam,3,0.0046543915671474175,1.2209388926744003,switched_fresh,Muon,3,0.0046543915671474175,0.0007258005571826595,0.003928591009964758,1.2209388926744003,1.1685032522224477,True
MatrixSensing,Matrix sensing kappa=1e+05,2,Adam,3,0.0046543915671474175,1.2209388926744003,own_fresh,Adam,10,0.0046543915671474175,0.0007815233030798649,0.0038728682640675523,1.2209388926744003,1.1792207443914522,True
